POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_450_BW_U2_00;;;;;
Plan:P5_15085-02_T_08_451_BW_U2_00;;;;;
1;8;16;5,75;72,68;
2;8;16;4,85;61,30;
3;68;8;1,68;45,12;
4;34;8;1,12;15,04;
Plan:P5_15085-02_T_08_452_BW_U2_02;;;;;
1;71;12;5,35;337,31;
2;50;20;5,35;660,73;
3;177;12;2,42;380,37;
4;72;10;1,29;57,31;
5;23;14;5,35;148,89;
6;100;10;0,42;25,91;
7;23;14;7,45;207,33;
8;89;12;7,45;588,79;
9;32;16;7,45;376,67;
10;120;8;0,44;20,86;
11;41;12;3,12;113,59;
12;73;8;1,25;36,04;
13;2;14;1,80;4,36;
14;6;12;2,75;14,65;
15;30;12;2,92;77,79;
16;35;10;0,40;8,64;
17;43;12;5,32;203,14;
18;30;12;4,04;107,63;
19;8;14;4,55;44,04;
20;24;12;8,45;180,09;
21;18;12;2,73;43,64;
22;8;25;5,35;164,78;
23;6;12;4,30;22,91;
24;35;8;1,29;17,83;
25;12;12;6,55;69,80;
26;32;12;2,20;62,52;
27;180;8;0,43;30,57;
28;60;12;2,33;124,14;
29;68;12;3,35;202,29;
30;121;20;4,55;1359,86;
31;113;12;1,83;183,63;
32;131;12;4,15;482,76;
33;24;12;2,40;51,15;
34;48;12;1,35;57,54;
35;60;12;8,00;426,24;
36;12;12;7,30;77,79;
37;60;10;1,40;51,83;
38;22;16;4,55;158,16;
39;36;12;1,49;47,63;
40;8;25;4,30;132,44;
41;15;14;4,60;83,49;
42;6;14;2,25;16,34;
43;17;14;5,65;116,22;
44;21;12;5,65;105,36;
201;8;20;1,50;29,64;
Plan:P5_15085-02_T_08_453_BW_U2_00_T1;;;;;
201;4;16;0,54;3,41;
1;8;14;4,55;44,04;
2;171;12;4,15;630,17;
3;146;20;4,55;1640,82;
4;90;12;2,33;186,21;
5;49;16;4,55;352,26;
6;72;12;9,45;604,20;
7;72;12;8,75;559,44;
8;5;12;2,00;8,88;
9;162;10;1,40;139,94;
10;135;12;1,83;219,38;
11;28;16;3,00;132,72;
12;48;8;1,25;23,70;
13;24;12;1,90;40,49;
14;4;14;3,50;16,94;
15;16;20;2,50;98,80;
16;7;12;5,50;34,19;
17;40;8;1,29;20,38;
18;40;10;0,40;9,87;
19;220;8;0,43;37,37;
20;8;12;2,40;17,05;
21;16;12;1,35;19,18;
22;72;12;2,50;159,84;
23;4;14;1,90;9,20;
4;30;12;2,33;62,07;
Plan:P5_15085-02_T_08_454_BW_U2_03;;;;;
201;18;12;0,60;9,59;
202;2;16;0,54;1,71;
203;22;12;0,55;10,74;
1;64;12;8,50;483,07;
2;72;12;7,50;479,52;
3;148;12;9,35;1228,81;
4;58;12;6,40;329,63;
5;18;12;4,35;69,53;
6;45;12;2,33;93,11;
7;5;14;5,40;32,67;
8;66;12;2,13;124,84;
9;146;20;4,75;1712,95;
10;81;20;4,90;980,34;
11;48;12;4,60;196,07;
12;164;12;5,65;822,82;
13;81;12;5,75;413,59;
14;4;14;5,80;28,07;
15;22;12;2,30;44,93;
16;10;8;0,39;1,54;
17;6;12;4,50;23,98;
18;6;12;5,20;27,71;
19;19;12;1,43;24,13;
20;24;12;2,50;53,28;
21;20;14;2,00;48,40;
22;245;12;1,80;391,61;
23;83;8;1,25;40,98;
24;20;14;2,60;62,92;
25;46;16;3,50;254,38;
26;38;16;5,00;300,20;
27;4;20;3,60;35,57;
28;12;20;4,00;118,56;
29;8;20;4,60;90,90;
30;8;20;4,75;93,86;
31;720;8;0,49;139,36;
32;28;12;2,48;61,66;
33;8;8;1,33;4,20;
34;10;12;2,40;21,31;
35;20;12;1,35;23,98;
36;34;12;3,32;100,24;
37;152;12;1,35;182,22;
38;8;14;2,15;20,81;
39;37;14;5,05;226,09;
40;21;12;5,05;94,17;
41;56;12;1,39;69,12;
42;71;12;2,02;127,36;
43;82;12;2,50;182,04;
44;4;14;1,75;8,47;
45;16;14;2,20;42,59;
46;8;12;1,74;12,36;
47;22;12;1,40;27,35;
48;26;8;0,77;7,91;
49;35;8;0,44;6,08;
50;30;10;1,45;26,84;
51;20;14;4,55;110,11;
52;16;12;4,55;64,65;
53;14;8;1,25;6,91;
54;8;10;2,67;13,18;
55;20;12;2,23;39,60;
56;7;12;3,65;22,69;
57;31;12;3,90;107,36;
58;25;20;4,30;265,53;
59;1;20;5,40;13,34;
60;4;20;6,50;64,22;
Plan:P5_15085-02_T_08_455_BW_U2_01;;;;;
201;35;12;0,70;21,76;
202;3;14;0,61;2,21;
2;37;12;6,90;226,71;
3;60;12;7,00;372,96;
6;8;16;3,20;40,45;
9;18;20;4,85;215,63;
10;37;12;0,90;29,57;
11;119;12;5,40;570,63;
12;119;20;5,40;1587,22;
13;15;12;2,25;29,97;
14;4;14;6,35;30,73;
15;140;8;0,49;27,10;
17;25;8;1,25;12,34;
18;260;8;0,54;55,46;
19;4;12;2,40;8,52;
20;8;12;1,35;9,59;
1;101;12;7,55;677,14;
4;28;12;6,40;159,13;
7;41;12;1,50;54,61;
8;48;12;4,65;198,20;
16;28;8;1,33;14,71;
21;6;12;3,90;20,78;
23;2;8;1,33;1,05;
5;16;14;2,50;48,40;
22;12;12;2,30;24,51;
Plan:P5_15085-02_T_08_456_BW_U2_00;;;;;
202;3;14;0,61;2,21;
203;13;16;0,97;19,92;
204;12;12;0,97;10,34;
201;64;12;0,60;34,10;
1;76;12;8,20;553,40;
2;76;12;6,50;438,67;
3;76;12;6,85;462,29;
4;16;12;5,50;78,14;
5;42;12;2,50;93,24;
6;137;20;4,85;1641,19;
7;90;12;4,70;375,62;
8;121;12;2,00;214,90;
9;31;14;2,30;86,27;
10;40;12;2,43;86,31;
11;17;12;2,20;33,21;
12;32;16;6,00;303,36;
13;73;8;1,25;36,04;
14;37;12;2,13;69,98;
15;440;8;0,49;85,16;
16;8;12;1,35;9,59;
17;8;12;2,40;17,05;
18;24;20;6,00;355,68;
19;39;12;4,50;155,84;
20;89;12;5,75;454,43;
21;2;16;4,00;12,64;
22;39;12;4,50;155,84;
110;VE;10;50,00;30,85;
Plan:P5_15085-02_T_08_457_BW_U2_01;;;;;
201;8;20;2,00;39,52;
202;26;16;1,50;61,62;
203;24;12;1,00;21,31;
1;80;12;6,50;461,76;
2;70;12;5,50;341,88;
3;98;12;4,15;361,15;
4;55;20;4,55;618,12;
5;65;12;1,83;105,63;
6;31;8;1,25;15,31;
7;22;8;1,29;11,21;
8;200;8;0,49;38,71;
9;13;12;1,90;21,93;
10;22;10;0,40;5,43;
11;4;16;5,50;34,76;
12;13;14;5,50;86,52;
13;6;14;4,15;30,13;
14;8;12;2,00;14,21;
201;8;20;2,00;39,52;
Plan:P5_15085-02_T_08_458_BW_U2_01;;;;;
1;32;12;6,90;196,07;
2;100;12;4,25;377,40;
3;34;12;7,40;223,42;
4;28;12;5,35;133,02;
5;28;12;5,35;133,02;
6;6;12;4,30;22,91;
7;36;12;1,43;45,71;
8;6;12;3,55;18,91;
9;6;12;1,90;10,12;
10;56;10;1,26;43,54;
11;38;12;2,02;68,16;
12;24;10;0,90;13,33;
13;38;10;1,16;27,20;
14;16;14;4,25;82,28;
15;8;14;2,20;21,30;
16;4;14;2,60;12,58;
17;6;14;2,60;18,88;
18;30;8;0,45;5,33;
19;34;12;3,95;119,26;
20;35;12;1,27;39,47;
21;16;12;3,65;51,86;
22;6;12;1,55;8,26;
23;24;16;4,00;151,68;
24;31;12;4,26;117,27;
25;15;12;3,30;43,96;
26;16;12;2,56;36,37;
27;15;12;3,36;44,76;
28;29;12;2,30;59,23;
29;8;20;7,40;146,22;
30;40;14;3,40;164,56;
31;43;10;1,20;31,84;
32;12;14;1,80;26,14;
33;52;14;1,40;88,09;
34;11;12;1,87;18,27;
35;60;8;0,42;9,95;
36;7;12;3,06;19,02;
37;19;12;1,32;22,27;
38;8;12;4,36;30,97;
39;20;14;8,35;202,07;
40;44;10;3,15;85,52;
41;44;10;2,75;74,66;
42;28;10;9,30;160,67;
43;78;10;1,25;60,16;
44;22;10;2,05;27,83;
45;14;16;4,25;94,01;
46;6;16;7,30;69,20;
47;32;8;0,47;5,94;
48;6;12;1,65;8,79;
49;6;14;2,95;21,42;
50;36;10;7,05;156,59;
51;26;10;8,40;134,75;
52;19;10;1,17;13,72;
53;82;10;4,25;215,02;
54;12;10;3,95;29,25;
55;2;16;4,94;15,61;
56;3;10;1,80;3,33;
57;3;16;3,37;15,97;
58;45;10;1,77;49,14;
59;6;12;1,52;8,10;
60;13;10;1,46;11,71;
61;6;20;8,35;123,75;
62;6;12;3,70;19,71;
63;18;12;5,20;83,12;
201;20;16;1,25;39,50;
202;10;16;2,65;41,87;
Plan:P5_15085-02_T_08_459_BW_U2_00;;;;;
1;74;10;4,50;205,46;
2;8;14;2,30;22,26;
3;9;20;6,80;151,16;
4;42;12;5,35;199,53;
5;20;10;8,70;107,36;
6;15;10;2,56;23,69;
7;17;10;3,16;33,15;
8;17;10;2,16;22,66;
9;12;14;5,50;79,86;
10;64;10;5,70;225,08;
11;4;10;2,15;5,31;
12;10;10;2,95;18,20;
13;18;12;3,45;55,14;
14;32;14;3,80;147,14;
15;44;12;1,85;72,28;
16;3;16;6,69;31,71;
17;12;12;2,60;27,71;
18;16;10;1,96;19,35;
19;5;12;2,02;8,97;
20;12;12;1,27;13,53;
21;22;12;3,60;70,33;
22;41;12;5,22;190,05;
23;24;10;5,40;79,96;
24;8;16;5,50;69,52;
25;30;10;1,77;32,76;
26;74;10;1,80;82,18;
27;6;10;3,95;14,62;
28;116;10;4,25;304,18;
29;39;8;0,47;7,24;
30;54;10;2,05;68,30;
31;16;10;1,20;11,85;
32;2;14;1,80;4,36;
33;16;14;1,40;27,10;
34;30;12;1,87;49,82;
35;40;8;0,42;6,64;
36;3;10;1,25;2,31;
37;40;12;1,32;46,89;
38;16;12;1,62;23,02;
201;12;16;3,60;68,26;
Plan:P5_15085-02_T_08_460_BW_U2_01;;;;;
201;8;16;2,00;25,28;
202;12;16;3,60;68,26;
1;68;12;4,35;262,67;
2;34;12;1,85;55,86;
3;58;12;4,25;218,89;
4;16;14;4,55;88,09;
5;30;12;2,02;53,81;
6;40;8;0,47;7,43;
7;8;12;1,27;9,02;
8;7;12;4,26;26,48;
9;84;10;4,25;220,27;
10;42;10;1,77;45,87;
11;16;14;3,80;73,57;
12;34;10;6,85;143,70;
13;34;10;8,40;176,22;
14;38;10;1,30;30,48;
15;14;14;1,40;23,72;
16;18;14;1,80;39,20;
17;12;10;1,27;9,40;
18;20;16;3,60;113,76;
19;20;10;2,80;34,55;
20;30;10;4,50;83,29;
21;19;12;1,32;22,27;
22;30;12;5,35;142,52;
23;4;14;5,50;26,62;
24;14;12;2,60;32,32;
25;4;14;2,40;11,62;
26;22;10;2,04;27,69;
27;30;10;1,35;24,99;
28;28;10;5,30;91,56;
29;35;8;3,65;50,46;
30;75;8;1,75;51,84;
31;18;10;1,72;19,10;
32;4;14;5,30;25,65;
33;14;8;1,52;8,41;
34;14;10;3,42;29,54;
35;8;14;1,90;18,39;
