POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_480_BW_U2_00;;;;;
Plan:P5_15085-02_T_08_481_BW_U2_01;;;;;
1;183;12;13,10;2128,80;
4;46;12;5,00;204,24;
5;39;12;5,75;199,13;
6;32;12;3,20;90,93;
8;84;14;7,95;808,04;
10;229;12;8,40;1708,16;
11;94;12;4,50;375,62;
12;92;12;7,60;620,89;
13;243;12;11,50;2481,52;
14;103;12;3,80;347,56;
15;80;14;8,40;813,12;
16;26;20;3,75;240,83;
17;78;12;2,47;171,08;
18;446;12;2,44;966,36;
19;17;12;2,02;30,49;
20;20;12;3,49;61,98;
21;4;16;11,15;70,47;
22;4;16;5,30;33,50;
23;2;16;7,15;22,59;
24;4;16;2,00;12,64;
25;5;20;5,70;70,40;
26;2;16;10,85;34,29;
27;2;16;3,65;11,53;
28;5;20;4,40;54,34;
29;4;16;4,85;30,65;
30;30;12;4,03;107,36;
32;16;12;2,94;41,77;
33;8;14;3,15;30,49;
36;2;14;7,95;19,24;
40;18;12;8,75;139,86;
41;4;16;9,25;58,46;
44;68;12;3,60;217,38;
51;4;14;1,85;8,95;
52;115;16;4,00;726,80;
53;84;12;7,00;522,14;
54;5;12;12,40;55,06;
55;331;12;1,96;576,10;
56;4;16;13,60;85,95;
57;17;12;1,67;25,21;
58;212;10;0,57;74,56;
59;50;14;0,57;34,49;
112;VE;12;400,00;355,20;
2;87;12;8,20;633,50;
3;5;12;9,90;43,96;
31;492;12;1,10;480,59;
45;8;16;3,70;46,77;
42;101;8;1,29;51,46;
47;8;14;2,15;20,81;
62;2;14;7,55;18,27;
63;2;14;3,40;8,23;
7;72;12;2,90;185,41;
35;19;8;1,25;9,38;
48;24;12;2,40;51,15;
49;48;12;1,35;57,54;
60;80;12;3,25;230,88;
61;16;12;7,30;103,72;
9;70;12;7,45;463,09;
34;52;12;1,29;59,57;
37;46;12;2,02;82,51;
38;109;12;1,62;156,80;
39;48;12;1,99;84,82;
43;28;12;1,65;41,03;
46;11;12;3,00;29,30;
50;28;12;1,35;33,57;
64;9;12;2,19;17,50;
65;24;12;1,52;32,39;
66;13;12;1,49;17,20;
67;11;12;2,90;28,33;
Plan:P5_15085-02_T_08_482_BW_U2_00;;;;;
1;174;14;3,30;694,78;
2;6;14;2,00;14,52;
3;6;14;2,18;15,83;
4;9;20;11,45;254,53;
5;4;12;9,90;35,16;
6;4;12;3,45;12,25;
7;4;12;4,50;15,98;
8;10;12;1,79;15,90;
9;92;12;2,40;196,07;
10;9;28;8,85;384,71;
11;3;20;3,68;27,27;
12;12;14;9,90;143,75;
13;7;20;10,85;187,60;
14;64;16;1,60;161,79;
15;24;8;1,76;16,68;
16;18;12;1,60;25,57;
17;7;20;12,00;207,48;
Plan:P5_15085-02_T_08_483_BW_U2_00;;;;;
1;146;10;11,00;990,90;
2;134;10;6,75;558,08;
3;30;10;8,40;155,48;
4;44;10;12,35;335,28;
5;96;10;10,50;621,94;
6;66;16;4,00;417,12;
7;22;20;5,00;271,70;
8;89;10;6,10;334,97;
9;89;10;5,80;318,50;
10;14;16;9,75;215,67;
11;69;16;4,75;517,85;
12;14;16;2,25;49,77;
13;25;16;8,45;333,78;
14;13;10;4,50;36,09;
15;24;16;11,15;422,81;
16;9;8;1,76;6,26;
17;18;16;1,90;54,04;
18;13;16;3,20;65,73;
19;4;20;5,85;57,80;
20;248;10;1,72;263,19;
21;14;10;2,22;19,18;
