POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_543_BW_00_02;;;;;
3;19;12;1,37;23,11;
4;7;10;1,09;4,71;
7;4;16;4,05;25,60;
8;5;10;1,27;3,92;
9;12;16;1,95;36,97;
10;2;16;2,60;8,22;
11;3;10;1,67;3,09;
12;16;10;2,37;23,40;
14;285;10;0,85;149,47;
15;2;14;11,10;26,86;
16;6;14;7,55;54,81;
17;3;14;2,90;10,53;
18;3;14;3,75;13,61;
19;2;12;2,00;3,55;
20;6;10;0,98;3,63;
21;3;10;1,04;1,93;
22;2;10;1,46;1,80;
23;3;10;1,94;3,59;
24;11;12;1,80;17,58;
25;20;16;2,20;69,52;
26;5;12;1,20;5,33;
27;25;10;1,89;29,15;
28;4;10;2,27;5,60;
29;2;12;3,40;6,04;
6;4;10;1,52;3,75;
1;2;10;1,74;2,15;
2;12;14;2,52;36,59;
5;3;10;2,74;5,07;
30;6;20;9,50;140,79;
31;70;12;1,66;103,19;
32;12;16;4,14;78,49;
33;12;16;4,44;84,18;
34;6;16;5,14;48,73;
35;9;10;8,70;48,31;
36;55;12;1,75;85,47;
37;3;12;1,52;4,05;
38;25;12;1,45;32,19;
112;VE;12;170,00;150,96;
13;377;10;1,45;337,28;
39;12;10;1,00;7,40;
Plan:P5_15085-02_T_08_544_BW_00_03;;;;;
1;192;10;11,50;1362,34;
4;34;10;6,30;132,16;
6;1;10;10,80;6,66;
7;6;20;7,35;108,93;
8;3;20;13,40;99,29;
9;55;16;4,65;404,09;
10;72;10;2,65;117,72;
11;261;10;9,55;1537,90;
12;42;10;7,65;198,24;
16;4;12;2,85;10,12;
18;4;12;2,30;8,17;
21;2;12;2,55;4,53;
22;24;14;11,85;344,12;
23;6;14;7,80;56,63;
25;11;14;3,75;49,91;
26;130;16;3,00;616,20;
3;20;10;4,00;49,36;
2;76;10;7,40;347,00;
13;5;10;1,72;5,31;
15;10;10;1,17;7,22;
20;14;10;1,20;10,37;
14;19;10;0,97;11,37;
17;34;10;0,98;20,56;
24;285;10;1,09;191,67;
19;14;14;2,02;34,22;
5;56;10;1,20;41,46;
Plan:P5_15085-02_T_08_545_BW_00_03;;;;;
1;548;10;0,85;287,40;
3;4;10;2,38;5,87;
4;22;10;2,37;32,17;
