POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_590_BW_03_00;;;;;
Plan:P5_15085-02_T_08_591_BW_03_00;;;;;
1;132;10;1,26;102,62;
2;16;16;4,55;115,02;
Plan:P5_15085-02_T_08_592_BW_03_01;;;;;
1;71;10;1,69;74,03;
2;4;20;10,95;108,19;
3;152;10;3,95;370,45;
4;52;12;5,20;240,12;
5;36;10;2,00;44,42;
6;72;10;2,10;93,29;
7;18;10;3,60;39,98;
8;8;10;5,10;25,17;
9;64;12;3,25;184,70;
10;56;10;1,37;47,34;
11;12;12;2,00;21,31;
12;16;12;1,77;25,15;
14;572;10;5,20;1835,20;
15;4;20;7,30;72,12;
16;64;12;12,00;681,98;
17;12;12;8,10;86,31;
19;162;10;11,90;1189,45;
20;364;10;1,20;269,51;
21;26;12;1,30;30,01;
22;32;14;9,35;362,03;
23;12;12;5,00;53,28;
24;4;20;6,80;67,18;
26;72;10;1,26;55,97;
27;70;10;5,85;252,66;
30;45;12;3,74;149,45;
31;2;12;1,64;2,91;
32;2;12;2,28;4,05;
33;8;16;1,70;21,49;
35;36;10;2,20;48,87;
36;18;10;3,30;36,65;
37;16;12;1,75;24,86;
38;24;10;1,28;18,95;
39;11;16;8,86;153,99;
40;140;10;12,20;1053,84;
41;320;8;0,42;53,09;
13;108;10;1,68;111,95;
18;12;12;4,40;46,89;
25;22;16;6,80;236,37;
28;38;16;5,20;312,21;
29;19;16;2,80;84,06;
41;7;10;1,66;7,17;
34;4;16;2,85;18,01;
Plan:P5_15085-02_T_08_593_BW_03_01;;;;;
1;37;8;1,67;24,41;
2;8;14;5,20;50,34;
3;4;14;5,21;25,22;
4;24;8;1,62;15,36;
5;174;10;5,20;558,26;
6;70;10;12,90;557,15;
7;60;10;1,70;62,93;
8;20;10;1,25;15,43;
11;12;12;1,95;20,78;
12;4;14;13,25;64,13;
15;65;8;0,42;10,78;
9;89;10;1,18;64,80;
16;18;10;0,70;7,77;
10;15;12;12,90;171,83;
19;86;12;1,60;122,19;
20;86;12;1,35;103,10;
21;2;14;10,15;24,56;
22;2;14;4,20;10,16;
23;5;12;9,95;44,18;
24;5;12;3,45;15,32;
25;6;12;1,98;10,55;
26;6;12;1,93;10,28;
27;5;12;0,98;4,35;
17;68;8;1,98;53,18;
18;21;8;1,93;16,01;
13;44;12;1,70;66,42;
14;8;12;2,80;19,89;
Plan:P5_15085-02_T_08_594_BW_03_00;;;;;
1;145;10;1,63;145,83;
2;24;10;5,90;87,37;
3;36;10;9,00;199,91;
4;24;10;1,30;19,25;
5;16;16;7,70;194,66;
6;24;16;9,50;360,24;
8;7;8;1,62;4,48;
10;7;8;1,67;4,62;
18;4;16;3,70;23,38;
19;8;16;10,00;126,40;
20;75;8;0,47;13,92;
7;21;10;1,75;22,67;
9;60;10;10,00;370,20;
11;7;10;1,73;7,47;
12;4;10;1,61;3,97;
13;12;10;2,15;15,92;
14;24;10;1,00;14,81;
15;12;10;2,55;18,88;
16;12;10;1,85;13,70;
17;12;10;5,00;37,02;
21;28;10;0,85;14,68;
Plan:P5_15085-02_T_08_595_BW_03_00;;;;;
1;77;10;2,53;120,20;
2;42;10;1,55;40,17;
3;14;10;7,25;62,63;
4;31;10;2,58;49,35;
5;272;10;2,15;360,82;
6;14;10;0,80;6,91;
7;32;12;2,53;71,89;
8;48;10;3,55;105,14;
9;7;10;1,60;6,91;
10;25;8;0,37;3,65;
11;10;8;0,42;1,66;
12;34;10;7,50;157,34;
13;57;10;1,53;53,81;
14;114;10;1,51;106,21;
15;8;14;4,40;42,59;
16;112;10;1,11;76,71;
17;8;14;2,55;24,68;
112;VE;12;100,00;88,80;
Plan:P5_15085-02_T_08_596_BW_03_01;;;;;
2;70;10;5,05;218,11;
10;4;16;5,10;32,23;
11;86;12;2,28;174,12;
12;40;10;2,10;51,83;
13;8;14;2,50;24,20;
14;40;10;4,10;101,19;
15;10;14;4,50;54,45;
17;6;16;4,55;43,13;
18;20;8;3,40;26,86;
19;8;16;2,95;37,29;
20;50;8;2,95;58,26;
21;40;8;3,25;51,35;
22;29;8;1,18;13,52;
16;22;10;1,36;18,46;
1;90;10;4,35;241,56;
4;12;14;4,60;66,79;
7;4;20;3,10;30,63;
23;70;8;0,42;11,61;
3;194;10;1,70;203,49;
5;47;10;1,68;48,72;
6;11;10;4,24;28,78;
8;30;10;3,40;62,93;
9;58;10;1,75;62,63;
24;28;10;1,20;20,73;
Plan:P5_15085-02_T_08_597_BW_03_01;;;;;
1;104;10;4,35;279,13;
2;116;8;2,70;123,71;
3;208;8;1,70;139,67;
4;30;14;4,60;166,98;
5;74;10;1,68;76,71;
6;90;8;1,95;69,32;
8;3;8;1,54;1,82;
10;4;16;2,00;12,64;
7;39;8;1,94;29,89;
9;7;10;4,18;18,05;
11;45;8;0,42;7,47;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
