POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_599_BW_03_00;;;;;
1;109;10;1,88;126,44;
3;3;20;3,30;24,45;
4;3;20;13,50;100,04;
112;VE;12;75,00;66,60;
2;6;20;8,60;127,45;
5;6;20;5,85;86,70;
6;4;12;1,52;5,40;
Plan:P5_15085-02_T_08_600_BW_03_02;;;;;
1;826;10;0,85;433,20;
2;130;10;1,18;94,65;
4;6;16;4,40;41,71;
5;2;16;5,50;17,38;
7;238;10;1,28;187,96;
8;20;12;2,20;39,07;
9;4;12;1,85;6,57;
10;12;12;2,50;26,64;
11;12;12;2,12;22,59;
14;16;12;1,52;21,60;
15;16;14;3,30;63,89;
16;2;16;6,70;21,17;
17;2;16;9,40;29,70;
18;14;16;4,15;91,80;
19;5;14;2,30;13,92;
20;2;12;6,70;11,90;
21;14;12;4,15;51,59;
22;8;12;4,40;31,26;
23;8;12;1,20;8,52;
112;VE;12;530,00;470,64;
3;14;10;1,72;14,86;
6;14;10;1,73;14,94;
12;38;10;2,28;53,46;
13;2;12;9,40;16,69;
Plan:P5_15085-02_T_08_601_BW_03_02;;;;;
1;32;16;6,00;303,36;
4;75;10;12,90;596,95;
5;30;10;2,80;51,83;
6;31;10;3,15;60,25;
7;13;10;8,75;70,18;
8;189;10;4,35;507,27;
9;20;10;3,35;41,34;
11;224;10;4,70;649,58;
12;34;10;5,65;118,53;
13;294;10;10,50;1904,68;
14;60;10;4,70;173,99;
15;68;10;11,15;467,81;
16;14;10;7,15;61,76;
17;38;10;2,20;51,58;
18;20;10;5,50;67,87;
19;19;10;3,50;41,03;
22;21;16;5,50;182,49;
23;10;16;7,65;120,87;
25;21;16;5,10;169,22;
26;13;16;8,20;168,43;
27;16;14;3,00;58,08;
28;4;14;3,60;17,42;
30;4;16;4,15;26,23;
31;4;16;2,90;18,33;
32;826;10;1,03;524,93;
2;203;16;5,00;1603,70;
24;17;16;8,05;216,22;
20;31;10;2,50;47,82;
29;54;14;2,30;150,28;
3;15;16;4,42;104,75;
10;19;10;5,55;65,06;
21;8;16;4,60;58,14;
33;7;10;1,17;5,05;
34;13;10;1,30;10,43;
35;7;10;0,83;3,58;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
