POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_610_BW_EUB_02;;;;;
1;60;12;0,88;46,89;
2;24;10;1,66;24,58;
10;15;12;9,70;129,20;
12;40;12;0,90;31,97;
14;4;20;4,40;43,47;
19;2;16;4,05;12,80;
201;24;14;0,80;23,23;
20;18;12;2,12;33,89;
3;15;10;1,46;13,51;
4;139;10;2,22;190,39;
5;8;16;7,25;91,64;
6;4;14;4,70;22,75;
8;21;12;1,38;25,73;
9;4;12;3,60;12,79;
13;4;20;4,80;47,42;
15;4;20;4,70;46,44;
16;15;12;7,25;96,57;
17;12;10;1,72;12,73;
18;9;12;3,00;23,98;
7;16;16;5,70;144,10;
11;177;10;1,13;123,41;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
