POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_472_BW_U2_00;;;;;
1;76;8;1,20;36,02;
2;108;8;1,78;75,93;
3;40;8;3,25;51,35;
4;68;8;2,75;73,86;
5;82;8;2,78;90,04;
6;57;8;2,40;54,04;
7;36;8;3,90;55,46;
12;13;10;2,54;20,37;
13;16;10;2,40;23,69;
14;112;8;3,20;141,57;
16;60;8;1,18;27,97;
17;16;10;1,48;14,61;
18;27;10;2,50;41,65;
19;16;10;3,25;32,08;
20;84;12;2,87;214,08;
21;36;12;4,00;127,87;
22;36;12;2,00;63,94;
28;8;12;3,75;26,64;
8;26;8;3,60;36,97;
10;18;8;1,20;8,53;
11;10;8;2,80;11,06;
24;10;8;1,55;6,12;
25;18;8;4,10;29,15;
27;68;8;2,55;68,49;
29;49;8;0,90;17,42;
30;10;8;3,25;12,84;
9;98;8;1,75;67,74;
15;136;8;3,75;201,45;
23;4;10;1,70;4,20;
26;4;10;2,60;6,42;
Plan:P5_15085-02_T_08_598_BW_03_00;;;;;
1;448;8;2,90;513,18;
2;110;8;1,08;46,93;
3;80;8;6,85;216,46;
4;80;8;7,45;235,42;
5;44;8;2,60;45,19;
6;18;8;5,45;38,75;
7;17;8;1,76;11,82;
8;12;8;2,58;12,23;
9;34;8;2,18;29,28;
10;28;8;2,60;28,76;
11;100;8;1,92;75,84;
12;24;8;6,40;60,67;
13;34;6;2,54;19,17;
14;42;6;2,14;19,95;
15;16;20;0,80;31,62;
Plan:P5_15085-02_T_08_602_BW_03_00;;;;;
1;60;12;2,36;125,74;
2;60;12;1,87;99,63;
3;32;12;2,00;56,83;
4;120;12;1,45;154,51;
6;12;14;1,45;21,05;
7;12;12;0,88;9,38;
8;12;12;0,90;9,59;
9;12;12;0,86;9,16;
10;6;12;1,47;7,83;
11;6;12;1,02;5,43;
12;8;12;1,20;8,52;
5;120;12;1,40;149,18;
13;12;12;1,39;14,81;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
