POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_421_BW_EUB_01;;;;;
1;8;10;165,53;817,06;
3;240;16;0,63;238,90;
2;40;16;15,20;960,64;
4;40;20;15,20;1501,76;
Plan:P5_15085-02_T_08_422_BW_EUB_02;;;;;
3;150;16;0,63;149,31;
1;5;10;165,53;510,66;
2;25;16;15,05;594,48;
4;25;20;15,05;929,34;
Plan:P5_15085-02_T_08_423_BW_EUB_03;;;;;
1;25;10;167,89;2589,70;
3;750;16;0,63;746,55;
2;125;16;15,20;3002,00;
4;125;20;15,20;4693,00;
Plan:P5_15085-02_T_08_424_BW_EUB_01;;;;;
1;3;10;165,53;306,40;
3;90;16;0,63;89,59;
2;15;16;15,05;356,69;
4;15;20;15,05;557,60;
Plan:P5_15085-02_T_08_425_BW_EUB_03;;;;;
1;6;10;158,43;586,51;
3;180;16;0,63;179,17;
2;30;16;14,60;692,04;
4;30;20;14,60;1081,86;
Plan:P5_15085-02_T_08_426_BW_EUB_01;;;;;
1;2;10;146,61;180,92;
3;60;16;0,63;59,72;
2;10;16;13,60;214,88;
4;10;20;13,60;335,92;
Plan:P5_15085-02_T_08_427_BW_EUB_01;;;;;
1;1;10;137,15;84,62;
3;30;16;0,63;29,86;
2;5;16;12,85;101,52;
4;5;20;12,85;158,70;
Plan:P5_15085-02_T_08_428_BW_EUB_01;;;;;
1;1;10;141,88;87,54;
3;30;16;0,63;29,86;
2;5;16;13,25;104,68;
4;5;20;13,25;163,64;
Plan:P5_15085-02_T_08_429_BW_EUB_03;;;;;
1;12;10;146,61;1085,50;
3;360;16;0,63;358,34;
2;60;16;13,60;1289,28;
4;60;20;13,60;2015,52;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
