POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
RND_05_Decke 1;;;;;
Plan:P5_15085-02_T_08_521_BW_U1_02;;;;;
1;3;14;2,90;10,53;
2;13;12;1,65;19,05;
4;27;16;1,95;83,19;
5;2;16;2,60;8,22;
6;4;10;0,97;2,39;
7;17;10;2,37;24,86;
8;37;10;1,27;28,99;
9;6;10;0,55;2,04;
10;1;12;1,20;1,07;
14;2;20;9,50;46,93;
15;28;12;2,38;59,18;
16;2;10;1,68;2,07;
17;3;14;4,00;14,52;
18;285;10;0,85;149,47;
19;3;10;1,67;3,09;
20;2;14;11,10;26,86;
21;6;14;7,55;54,81;
22;4;10;3,17;7,82;
23;4;16;2,25;14,22;
24;2;12;3,75;6,66;
25;2;12;2,45;4,35;
26;8;10;1,07;5,28;
27;8;14;2,58;24,97;
13;19;12;1,37;23,11;
3;36;10;1,69;37,54;
12;10;10;1,09;6,73;
11;4;16;3,00;18,96;
28;2;16;3,05;9,64;
29;397;10;1,45;355,18;
112;VE;12;160,00;142,08;
Plan:P5_15085-02_T_08_522_BW_U1_03;;;;;
1;192;10;11,50;1362,34;
2;78;10;7,80;375,38;
3;59;16;4,50;419,49;
4;4;16;3,35;21,17;
5;2;16;5,10;16,12;
6;7;20;7,35;127,08;
7;3;20;13,40;99,29;
8;34;10;6,30;132,16;
9;72;10;2,65;117,72;
10;261;10;9,55;1537,90;
12;22;10;3,00;40,72;
13;16;10;2,44;24,09;
14;4;12;2,85;10,12;
15;42;10;7,65;198,24;
19;4;12;2,30;8,17;
24;24;14;11,85;344,12;
25;6;14;7,80;56,63;
26;125;16;3,00;592,50;
11;11;14;3,75;49,91;
17;5;10;1,72;5,31;
20;1;10;10,80;6,66;
22;10;10;1,17;7,22;
16;19;10;0,97;11,37;
18;17;10;0,98;10,28;
21;14;14;1,97;33,37;
23;285;10;1,09;191,67;
27;52;10;1,00;32,08;
28;14;10;1,20;10,37;
Plan:P5_15085-02_T_08_523_BW_U1_04;;;;;
1;8;10;2,45;12,09;
2;558;10;0,85;292,64;
3;283;10;1,09;190,33;
8;38;10;2,75;64,48;
10;33;10;3,17;64,54;
12;83;14;4,13;414,78;
13;6;10;2,05;7,59;
14;2;12;2,55;4,53;
15;4;12;1,85;6,57;
16;32;10;1,18;23,30;
17;4;16;1,95;12,32;
18;12;14;7,85;113,98;
19;8;14;5,80;56,14;
20;4;16;4,60;29,07;
21;8;14;11,10;107,45;
22;8;12;1,40;9,95;
23;10;12;1,60;14,21;
24;72;12;1,98;126,59;
25;3;14;2,50;9,07;
27;4;14;2,00;9,68;
28;2;12;2,22;3,94;
29;2;20;5,50;27,17;
30;6;14;2,57;18,66;
31;8;20;3,76;74,30;
32;8;20;3,75;74,10;
33;16;10;1,84;18,16;
34;2;16;6,00;18,96;
35;2;20;4,15;20,50;
36;2;16;4,85;15,33;
37;6;14;4,00;29,04;
39;17;10;2,14;22,45;
41;4;16;11,10;70,15;
43;20;10;3,45;42,57;
44;7;10;1,06;4,58;
45;27;10;2,64;43,98;
46;8;12;1,45;10,30;
47;2;16;5,25;16,59;
48;14;10;1,33;11,49;
49;5;16;4,60;36,34;
50;16;10;1,20;11,85;
112;VE;12;550,00;488,40;
4;4;10;2,38;5,87;
5;22;10;2,37;32,17;
6;94;10;1,07;62,06;
7;11;10;1,17;7,94;
9;134;10;2,73;225,71;
11;6;12;2,15;11,46;
26;2;16;5,25;16,59;
38;12;12;3,90;41,56;
40;2;12;4,75;8,44;
42;23;10;3,10;43,99;
51;6;10;1,71;6,33;
Plan:P5_15085-02_T_08_524_BW_U1_05;;;;;
1;114;10;6,45;453,68;
2;198;10;10,80;1319,39;
3;119;10;12,70;932,47;
4;163;10;3,50;352,00;
5;35;10;4,50;97,18;
6;66;10;7,50;305,42;
8;44;10;10,00;271,48;
9;66;10;5,95;242,30;
10;21;10;2,60;33,69;
11;56;10;1,90;65,65;
12;548;10;1,09;368,55;
13;4;16;3,85;24,33;
14;4;16;5,50;34,76;
15;16;10;7,00;69,10;
19;26;10;1,20;19,25;
20;169;10;5,70;594,36;
21;102;14;3,55;438,14;
22;12;12;1,40;14,92;
23;56;10;2,00;69,10;
24;112;10;1,40;96,75;
26;33;10;3,65;74,32;
28;7;10;1,50;6,48;
29;5;16;1,50;11,85;
30;4;12;2,50;8,88;
25;26;14;4,75;149,44;
7;70;10;3,00;129,57;
16;31;10;1,50;28,69;
17;10;10;1,37;8,45;
18;18;10;0,83;9,22;
31;2;20;3,50;17,29;
27;28;20;4,00;276,64;
Plan:P5_15085-02_T_08_525_BW_U1_00;;;;;
201;12;14;1,20;17,42;
1;14;10;3,00;25,91;
2;14;8;3,00;16,59;
3;84;8;2,02;67,02;
4;28;10;2,00;34,55;
5;56;10;1,30;44,92;
6;20;16;3,40;107,44;
7;52;10;1,24;39,78;
8;18;8;1,24;8,82;
9;12;10;3,40;25,17;
10;70;10;2,07;89,40;
11;24;10;1,00;14,81;
12;6;12;1,40;7,46;
13;14;10;3,20;27,64;
14;14;8;3,20;17,70;
15;16;8;0,81;5,12;
Plan:P5_15085-02_T_08_526_BW_U1_00;;;;;
201;12;14;1,20;17,42;
1;14;10;3,00;25,91;
2;14;8;3,00;16,59;
3;84;8;2,02;67,02;
4;28;10;2,00;34,55;
5;56;10;1,30;44,92;
6;6;16;3,45;32,71;
7;35;10;1,24;26,78;
8;11;12;3,45;33,70;
9;15;10;3,45;31,93;
10;70;10;2,07;89,40;
11;32;10;1,00;19,74;
12;6;12;1,40;7,46;
13;14;10;3,20;27,64;
14;14;8;3,20;17,70;
15;22;8;0,81;7,04;
16;17;8;1,24;8,33;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
