POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
RND_08_W„nde 1;;;;;
Plan:P5_15085-02_T_08_550_BW_01_00;;;;;
Plan:P5_15085-02_T_08_551_BW_01_00;;;;;
1;192;8;1,14;86,46;
2;96;16;4,40;667,39;
3;348;8;1,96;269,42;
Plan:P5_15085-02_T_08_552_BW_01_01;;;;;
1;105;8;1,28;53,09;
2;20;16;4,35;137,46;
3;14;10;2,32;20,04;
4;88;10;0,78;42,35;
5;154;10;1,00;95,02;
6;12;20;9,00;266,76;
7;14;10;1,76;15,20;
9;22;10;5,90;80,09;
10;66;10;7,20;293,20;
11;22;10;5,95;80,77;
12;110;10;1,20;81,44;
13;20;14;4,35;105,27;
14;27;10;1,83;30,49;
15;4;20;3,85;38,04;
18;4;16;3,80;24,02;
19;8;20;7,75;153,14;
20;22;10;3,40;46,15;
21;4;20;6,00;59,28;
22;4;16;7,15;45,19;
16;8;16;7,50;94,80;
17;8;16;8,75;110,60;
8;243;10;4,02;602,72;
Plan:P5_15085-02_T_08_553_BW_01_01;;;;;
201;3;14;0,61;2,21;
1;21;8;1,28;10,62;
2;22;16;4,35;151,21;
3;18;12;1,99;31,81;
4;14;10;3,16;27,30;
5;18;12;2,85;45,55;
6;53;10;4,02;131,46;
7;17;12;2,32;35,02;
8;92;10;4,20;238,41;
9;8;14;4,35;42,11;
10;74;10;4,65;212,31;
11;42;8;2,15;35,67;
12;16;10;0,78;7,70;
13;28;10;1,00;17,28;
14;24;10;11,70;173,25;
15;24;10;2,15;31,84;
16;81;10;1,75;87,46;
17;52;10;1,25;40,11;
18;4;20;6,20;61,26;
19;4;16;6,60;41,71;
20;4;16;2,80;17,70;
21;8;16;3,80;48,03;
22;4;20;5,00;49,40;
23;4;20;6,75;66,69;
24;4;20;3,50;34,58;
25;50;8;0,47;9,28;
26;4;14;3,13;15,15;
27;8;10;3,50;17,28;
112;VE;12;5,00;4,44;
Plan:P5_15085-02_T_08_554_BW_01_01;;;;;
1;63;8;1,28;31,85;
2;12;16;4,25;80,58;
3;4;20;10,05;99,29;
4;8;20;9,00;177,84;
5;117;10;1,79;129,22;
6;56;10;0,78;26,95;
7;98;10;1,00;60,47;
8;158;10;4,40;428,94;
9;50;8;0,47;9,28;
10;22;10;3,40;46,15;
11;74;10;5,85;267,10;
12;74;10;5,95;271,67;
13;24;14;4,50;130,68;
14;4;20;4,55;44,95;
16;66;10;7,20;293,20;
17;110;10;1,20;81,44;
18;8;16;8,75;110,60;
19;4;16;4,00;25,28;
20;4;16;5,45;34,44;
21;4;16;7,15;45,19;
22;4;20;6,00;59,28;
15;168;10;4,02;416,70;
