POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_401_BW_EUB_02;;;;;
3;390;16;0,64;394,37;
1;13;12;332,52;3838,61;
2;117;20;14,15;4089,21;
Plan:P5_15085-02_T_08_402_BW_EUB_02;;;;;
1;15;12;221,93;2956,11;
3;450;16;0,65;462,15;
2;195;28;14,15;13327,18;
Plan:P5_15085-02_T_08_403_BW_EUB_02;;;;;
1;7;12;212,49;1320,84;
2;63;28;13,60;4138,34;
3;210;16;0,65;215,67;
Plan:P5_15085-02_T_08_404_BW_EUB_01;;;;;
1;2;14;257,06;622,09;
2;2;12;91,97;163,34;
3;24;28;14,80;1715,62;
4;16;28;11,50;888,72;
5;72;16;0,65;73,94;
Plan:P5_15085-02_T_08_405_BW_EUB_02;;;;;
1;4;10;214,85;530,25;
2;60;28;13,70;3970,26;
3;120;16;0,65;123,24;
Plan:P5_15085-02_T_08_406_BW_EUB_00;;;;;
1;4;14;247,53;1198,05;
2;4;12;169,80;603,13;
3;44;28;15,15;3219,68;
4;44;28;12,00;2550,24;
5;144;16;0,65;147,89;
Plan:P5_15085-02_T_08_407_BW_EUB_02;;;;;
1;6;12;221,93;1182,44;
2;54;20;14,15;1887,33;
3;180;16;0,64;182,02;
Plan:P5_15085-02_T_08_408_BW_EUB_00;;;;;
1;10;12;469,12;4165,79;
2;120;28;14,95;8665,02;
3;40;28;12,00;2318,40;
4;360;16;0,65;369,72;
Plan:P5_15085-02_T_08_409_BW_EUB_00;;;;;
1;4;14;247,53;1198,05;
2;4;12;183,95;653,39;
3;56;28;15,75;4260,06;
4;28;28;12,00;1622,88;
5;144;16;0,65;147,89;
Plan:P5_15085-02_T_08_410_BW_EUB_00;;;;;
1;8;12;332,52;2362,22;
2;64;25;14,15;3486,56;
3;240;16;0,65;246,48;
Plan:P5_15085-02_T_08_416_BW_EUB_00;;;;;
1;2;12;221,93;394,15;
2;18;28;14,15;1230,20;
3;60;16;0,65;61,62;
Plan:P5_15085-02_T_08_417_BW_EUB_00;;;;;
1;4;12;212,49;754,76;
2;36;28;13,60;2364,77;
3;120;16;0,65;123,24;
Plan:P5_15085-02_T_08_418_BW_EUB_00;;;;;
1;4;12;320,86;1139,69;
2;48;20;16,40;1944,38;
3;264;16;0,65;271,13;
Plan:P5_15085-02_T_08_420_BW_EUB_00;;;;;
1;62;25;5,12;1222,14;
3;62;14;1,84;138,04;
4;62;14;1,79;134,29;
5;28;12;5,20;129,29;
6;60;16;3,40;322,32;
7;16;16;4,58;115,78;
8;12;20;5,23;155,02;
9;16;16;4,66;117,80;
10;12;20;5,31;157,39;
2;58;16;4,92;450,87;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
