POS;STÜCK;HBT-TYP;TEXT;GEWICHT;
Plan:5B-00-01;;;;;
1;3;HBT190-12/10;;
2;3;HBT190-10/15;;
2;3;HBT190-10/15;;
2;3;HBT190-10/15;;
2;3;HBT190-10/15;;
Plan:5B-01-04;;;;;
Plan:5B-10-05;;;;;
Plan:5B-20-05;;;;;
 ;;;;
 ;;;;
 ;;;;
 ;;;;
Rückbiegeanschlüsse;[kg]
 ;;;;
HBT  55-8/15  ;2,7
HBT  55-8/20  ;2,3
HBT  55-8/25  ;2,1
HBT  55-10/15  ;4,1
HBT  55-10/20  ;3,4
HBT  55-10/25  ;3
;
HBT  85-10/10 ;6
HBT  85-10/15 ;4,4
HBT  85-10/20 ;3,7
HBT  85-10/25 ;3,3
HBT  85-12/10 ;9
HBT  85-12/15 ;6,4
HBT  85-12/20 ;5,2
HBT  85-12/25 ;4,5
;
HBT 120-8/15  ;4,9
HBT 120-8/20  ;4,1
HBT 120-8/25  ;3,7
HBT 120-10/15 ;7,5
HBT 120-10/20 ;6,1
HBT 120-10/25 ;5,4
HBT 120-12/15 ;10,1
HBT 120-12/20 ;8,5
HBT 120-12/25 ;7,6
;
HBT 150-8/15  ;5,3
HBT 150-8/20  ;4,4
HBT 150-8/25  ;4
HBT 150-10/10 ;10,8
HBT 150-10/15 ;7,9
HBT 150-10/20 ;6,4
HBT 150-10/25 ;5,6
HBT 150-12/10 ;16,2
HBT 150-12/15 ;11,5
HBT 150-12/20 ;9,1
HBT 150-12/25 ;7,9
;
HBT 190-8/15  ;5,8
HBT 190-8/20  ;4,9
HBT 190-8/25  ;4,5
HBT 190-10/10 ;11,5
HBT 190-10/15 ;8,5
HBT 190-10/20 ;6,9
HBT 190-10/25 ;6,2
HBT 190-12/10 ;17
HBT 190-12/15 ;12,1
HBT 190-12/20 ;9,7
HBT 190-12/25 ;8,5
;
HBT 220-8/15  ;6,2
HBT 220-8/20  ;5,3
HBT 220-8/25  ;4,9
HBT 220-10/10 ;12,1
HBT 220-10/15 ;9
HBT 220-10/20 ;7,4
HBT 220-10/25 ;6,6
HBT 220-12/10 ;17,7
HBT 220-12/15 ;12,7
HBT 220-12/20 ;10,2
HBT 220-12/25 ;9
;
HBT S150-8/15-Typ8 ;2,4
HBT S190-10/15-Typ8 ;3,7
;
HBT S150-8/15-Typ9 ;2,4
HBT S190-10/15-Typ9 ;3,7
