POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:5B-00-01;;;;;
1;33;8;2,16;28,16;
2;33;8;2,80;36,50;
3;30;14;4,70;170,61;
4;10;12;4,60;40,85;
5;13;12;2,87;33,13;
6;12;8;1,39;6,59;
7;12;8;3,50;16,59;
8;4;16;3,50;22,12;
9;8;20;5,30;104,73;
10;202;10;1,60;199,41;
11;62;10;3,40;130,06;
12;4;16;4,00;25,28;
13;36;10;4,00;88,85;
14;18;14;4,00;87,12;
15;92;10;2,60;147,59;
16;22;10;7,80;105,88;
17;12;16;5,00;94,80;
18;68;8;4,00;107,44;
19;17;10;3,82;40,07;
20;28;8;0,96;10,62;
21;56;8;1,55;34,29;
22;16;14;2,25;43,56;
23;20;8;2,25;17,78;
24;16;10;7,90;77,99;
25;76;10;2,20;103,16;
26;12;10;4,80;35,54;
27;12;10;3,40;25,17;
28;100;10;2,15;132,66;
29;64;10;1,30;51,33;
30;4;16;5,75;36,34;
31;43;10;1,18;31,31;
32;68;10;3,18;133,42;
33;4;14;3,00;14,52;
34;49;10;1,68;50,79;
35;40;10;1,00;24,68;
36;4;16;6,15;38,87;
37;4;14;2,65;12,83;
38;12;10;4,00;29,62;
39;1;10;1,32;0,81;
40;1;10;1,48;0,91;
41;1;10;1,64;1,01;
42;1;10;1,82;1,12;
43;1;10;1,98;1,22;
100;287;8;0,42;47,61;
201;16;12;0,55;7,81;
Plan:5B-01-04;;;;;
7;21;10;2,98;38,61;
8;77;16;6,75;821,21;
9;31;14;4,40;165,04;
10;32;14;9,65;373,65;
11;32;14;7,35;284,59;
12;20;14;8,70;210,54;
13;20;12;8,70;154,51;
14;6;20;3,00;44,46;
15;89;16;3,00;421,86;
16;88;12;4,65;363,37;
17;160;16;8,05;2035,04;
18;29;20;5,20;372,48;
19;8;20;7,20;142,27;
20;4;20;6,60;65,21;
21;52;14;1,80;113,26;
22;78;8;0,82;25,26;
23;108;14;1,10;143,75;
24;108;8;0,82;34,98;
25;36;14;1,30;56,63;
26;45;8;0,82;14,58;
27;16;16;1,30;32,86;
28;20;8;0,82;6,48;
29;315;10;1,57;305,14;
30;81;10;1,97;98,45;
31;48;10;1,76;52,12;
1;154;10;9,10;864,66;
2;154;10;6,40;608,12;
3;8;10;7,70;38,01;
4;12;10;5,00;37,02;
5;390;10;6,95;1672,38;
6;21;14;2,50;63,53;
32;45;10;3,00;83,30;
33;92;14;6,95;773,67;
34;36;14;10,00;435,60;
35;36;14;6,10;265,72;
Plan:5B-10-05;;;;;
21;5;16;4,75;37,53;
1;50;10;3,60;111,06;
2;65;10;1,50;60,16;
3;40;10;8,50;209,78;
4;36;10;9,60;213,24;
5;19;10;3,75;43,96;
6;95;10;8,70;509,95;
7;14;10;2,65;22,89;
8;29;10;5,85;104,67;
9;166;10;7,00;716,95;
10;226;10;2,50;348,61;
11;15;10;3,95;36,56;
12;30;10;1,85;34,24;
13;40;14;2,50;121,00;
14;8;10;2,80;13,82;
15;494;10;1,70;518,16;
16;718;10;1,68;744,25;
17;12;8;1,52;7,20;
18;3;8;1,62;1,92;
19;62;8;1,28;31,35;
20;5;16;10,75;84,93;
Plan:5B-20-05;;;;;
1;213;12;5,00;945,72;
2;110;12;8,70;849,82;
3;210;10;4,90;634,89;
4;99;10;8,70;531,42;
5;11;10;7,00;47,51;
6;10;10;1,00;6,17;
7;15;12;2,10;27,97;
8;6;14;5,30;38,48;
9;12;14;3,70;53,72;
10;25;12;3,00;66,60;
11;41;10;2,00;50,59;
12;44;10;7,90;214,47;
13;130;10;2,50;200,52;
